简称,全名,基准价,跳蚤价,商人收购价,收购商人,差价
M4A1,柯尔特 M4A1 5.56x45 卡宾枪,18397,750000,10302,Mechanic,739698
5.56x45 普通弹,5.56x45mm M855弹药包（50发装）,10000,0,5600,Mechanic,0
工厂,工厂出口钥匙,51111,350000,32199,Therapist,317801
PM,马卡洛夫9x18PM 手枪,4097,9000,2294,Mechanic,6706
RGD-5,RGD-5手榴弹,7230,14444,3615,Prapor,10829
PM 90-93,90-93 9x18PM 8发PM弹匣,940,800,526,Mechanic,274
GEN M3 20,PMAG GEN M3 20 5.56x45 20发STANAG弹匣,3006,22998,1683,Mechanic,21315
水,0.6升瓶装水,2450,65000,1543,Therapist,63457
饼干,军用饼干,2402,49998,1513,Therapist,48485
卢布,卢布,1,0,0,无,0
AN/PEQ-15,L3Harris AN/PEQ-15 战术设备,19137,21222,10716,Mechanic,10506
ER刺刀,ER Fulcrum刺刀,17100,7500,10260,Jaeger,-2760
MP-133,MP-133 12铅径 霰弹枪,14443,55555,8665,Jaeger,46890
Alpha箱,Alpha安全箱,360000,0,0,无,0
GEN M3,PMAG 40 GEN M3 5.56x45 STANAG 40 发弹匣,6177,80000,3459,Mechanic,76541
MAG5-60,MAG5-60 5.56x45 60发STANAG弹匣,22755,55000,12742,Mechanic,42258
USGI A2,柯尔特USGI A2 5.56x45 AR-15消焰器,1340,1339,750,Mechanic,589
HAMR,勒波德 Mark 4 HAMR 4x24 DeltaPoint混合式突击瞄准镜,42902,48000,25741,Jaeger,22259
AVS,Crye Precision AVS 插板胸挂（丛林绿）,58629,80000,36349,Ragman,43651
MBSS,Flyye MBSS背包,18320,29000,11358,Ragman,17642
绷带,无菌绷带,1456,40000,917,Therapist,39083
夹板,固定夹板,2968,9999,1869,Therapist,8130
止痛药,安乃近止痛药,5700,8000,3591,Therapist,4409
吗啡,吗啡注射器,25305,14478,15942,Therapist,-1464
Salewa,Salewa急救包,18863,27999,11883,Therapist,16116
工具钳,Leatherman多功能工具钳,15362,44998,8602,Mechanic,36396
菠萝汁,Russian Army菠萝汁,2135,34999,1345,Therapist,33654
士腻架,士腻架能量棒,6265,26666,3946,Therapist,22720
M855,5.56x45毫米 M855,180,490,100,Mechanic,390
M855A1,5.56x45毫米 M855A1,710,2424,397,Mechanic,2027
Tri-Zip,Camelbak Tri-Zip背包,61325,88888,38021,Ragman,50867
6B43,6B43 Zabralo-Sh 防弹衣（数码丛林迷彩）,257045,1050000,159367,Ragman,890633
战术目镜,战术目镜,1669,3000,1034,Ragman,1966
510毫米MP-43e-1c 12铅径,510毫米MP-43e-1c枪管 12铅径,2800,2200,1680,Jaeger,520
SV-98,SV-98 7.62x54 狙击步枪,24989,169420,14993,Jaeger,154427
MP43e,MP-43-1C双管霰弹枪,5800,30000,3480,Jaeger,26520
EXPS3-0,EOTech EXPS3-0 全息瞄具（黄褐色）,26250,23000,14700,Mechanic,8300
GEN M3,PMAG GEN M3 W 30 5.56x45 STANAG 30发弹匣,3797,30000,2126,Mechanic,27874
MOE手枪式,Magpul MOE AR-15手枪式握把,5100,25000,2856,Mechanic,22144
MK46K,Tango Down Stubby BGV-MK46K战术握把 Black,3796,4500,2125,Mechanic,2375
SV-98聚合物,7.62x54R 10发SV-98聚合物弹匣,3900,9999,2184,Mechanic,7815
M4A1上机匣,柯尔特M4A1 5.56x45突击步枪上机匣,5198,78500,2910,Mechanic,75590
260毫米AR-15 5.56x45,260毫米AR-15兼容枪管 5.56x45,19118,39877,11470,Jaeger,28407
370毫米AR-15 5.56x45,370毫米AR-15兼容枪管 5.56x45,24567,38888,14740,Jaeger,24148
725毫米 MP-43e-1s 12铅径,725毫米MP-43e-1s枪管 12铅径,3500,3674,2100,Jaeger,1574
610毫米MP-43e-1s 12铅径,610毫米MP-133霰弹枪枪管 12铅径,4902,800,2941,Jaeger,-2141
510毫米MP-133 12铅径,510毫米MP-133枪管 12铅径,4006,23333,2403,Jaeger,20930
610毫米MP-133 12铅径,610毫米MP-133霰弹枪肋条枪管 12铅径,5103,0,3061,Jaeger,0
AR-15拉机柄, 柯尔特AR-15拉机柄,1404,39000,786,Mechanic,38214
KAC RIS,Knight's Armament KAC RIS AR-15兼容护木,4745,30000,2657,Mechanic,27343
MP-133山毛榉,Izhmekh MP-133山毛榉下护木,1529,2000,856,Mechanic,1144
MP-133定制塑料,MP-133有导轨的定制塑料下护木,9150,35000,5124,Mechanic,29876
6L23,6L23 5.45x39 30发AK-74兼容弹匣,1999,4000,1119,Mechanic,2881
6L26,6L26 5.45x39 45发AK-74兼容弹匣,3765,6000,2108,Mechanic,3892
6L31,6L31 5.45x39 60发AK-74兼容弹匣,18319,30000,10258,Mechanic,19742
Saiga 545,Saiga 5.45x39 10发AK-74兼容弹匣,1611,1000,902,Mechanic,98
